step	classes_active	country	acc
6	[Marker, Digit, Bigram, Length, Punct, Script]	DE	0.942437
6	[Marker, Digit, Bigram, Length, Punct, Script]	ES	0.902307
6	[Marker, Digit, Bigram, Length, Punct, Script]	FR	0.904285
6	[Marker, Digit, Bigram, Length, Punct, Script]	GB	0.879396
6	[Marker, Digit, Bigram, Length, Punct, Script]	IN	0.929776
6	[Marker, Digit, Bigram, Length, Punct, Script]	IT	0.945358
6	[Marker, Digit, Bigram, Length, Punct, Script]	JP	0.993450
6	[Marker, Digit, Bigram, Length, Punct, Script]	LU	0.872756
6	[Marker, Digit, Bigram, Length, Punct, Script]	NL	0.944485
6	[Marker, Digit, Bigram, Length, Punct, Script]	US	0.903994
7	[Marker, Digit, Bigram, Length, Punct, Script, Postcode]	AT	0.810606
7	[Marker, Digit, Bigram, Length, Punct, Script, Postcode]	AU	0.872238
7	[Marker, Digit, Bigram, Length, Punct, Script, Postcode]	BE	0.707000
7	[Marker, Digit, Bigram, Length, Punct, Script, Postcode]	BR	0.977772
7	[Marker, Digit, Bigram, Length, Punct, Script, Postcode]	CH	0.738685
7	[Marker, Digit, Bigram, Length, Punct, Script, Postcode]	DE	0.942437
7	[Marker, Digit, Bigram, Length, Punct, Script, Postcode]	ES	0.928326
7	[Marker, Digit, Bigram, Length, Punct, Script, Postcode]	FR	0.908043
7	[Marker, Digit, Bigram, Length, Punct, Script, Postcode]	GB	0.876424
7	[Marker, Digit, Bigram, Length, Punct, Script, Postcode]	IN	0.929524
7	[Marker, Digit, Bigram, Length, Punct, Script, Postcode]	IT	0.943334
7	[Marker, Digit, Bigram, Length, Punct, Script, Postcode]	JP	0.996118
7	[Marker, Digit, Bigram, Length, Punct, Script, Postcode]	LU	0.890190
7	[Marker, Digit, Bigram, Length, Punct, Script, Postcode]	NL	0.963234
7	[Marker, Digit, Bigram, Length, Punct, Script, Postcode]	US	0.907963
